STATEA,COUNTYA,naics,EMP_2019,EMP_2022,Growth_Rate
12,97,48----,2656,1928,-27.40963855421687
12,99,48----,15351,12926,-15.797016481011008
12,101,48----,2746,1529,-44.31900946831755
12,103,48----,7607,5586,-26.567635072959117
12,105,48----,22469,16911,-24.736303351283993
12,107,48----,273,285,4.395604395604396
12,109,48----,1602,1138,-28.963795255930087
12,111,48----,3309,2044,-38.22907222725899
12,113,48----,720,605,-15.972222222222221
12,115,48----,4308,3532,-18.012999071494892
12,117,48----,3574,3054,-14.549524342473418
12,119,48----,532,525,-1.3157894736842104
12,121,48----,101,105,3.9603960396039604
12,123,48----,116,54,-53.44827586206896
12,125,48----,390,348,-10.76923076923077
12,127,48----,3456,2549,-26.244212962962965
12,129,48----,80,29,-63.74999999999999
12,131,48----,452,272,-39.823008849557525
12,133,48----,142,91,-35.91549295774648
12,999,48----,1163,289,-75.15047291487532
13,1,48----,177,235,32.7683615819209
13,3,48----,104,81,-22.115384615384613
13,5,48----,83,72,-13.253012048192772
13,7,48----,6,6,0.0
13,9,48----,52,55,5.769230769230769
13,11,48----,55,55,0.0
13,13,48----,819,989,20.757020757020758
13,15,48----,2508,2229,-11.124401913875598
13,17,48----,49,56,14.285714285714285
13,19,48----,18,17,-5.555555555555555
13,21,48----,3223,2361,-26.74526838349364
13,23,48----,148,19,-87.16216216216216
13,25,48----,97,62,-36.08247422680412
13,27,48----,9,10,11.11111111111111
13,29,48----,436,161,-63.07339449541285
13,31,48----,1641,1174,-28.45825716026813
13,33,48----,113,103,-8.849557522123893
13,35,48----,1155,933,-19.22077922077922
13,37,48----,167,136,-18.562874251497004
13,39,48----,90,112,24.444444444444443
13,43,48----,30,23,-23.333333333333332
13,45,48----,1285,958,-25.44747081712062
13,47,48----,487,517,6.160164271047227
13,49,48----,9,18,100.0
13,51,48----,18565,13785,-25.74737409103151
13,53,48----,133,91,-31.57894736842105
13,55,48----,20,23,15.0
13,57,48----,1849,1004,-45.700378583017844
13,59,48----,1278,950,-25.665101721439747
13,63,48----,20287,14477,-28.63902992063883
13,67,48----,15934,11425,-28.29797916405171
13,69,48----,1753,1436,-18.083285795778664
13,71,48----,248,112,-54.83870967741935
13,73,48----,1141,754,-33.91761612620508
13,75,48----,60,57,-5.0
13,77,48----,2530,1583,-37.430830039525695
13,81,48----,209,232,11.004784688995215
13,83,48----,38,26,-31.57894736842105
13,85,48----,75,54,-28.000000000000004
13,87,48----,170,167,-1.7647058823529411
13,89,48----,16848,17599,4.4575023741690405
13,91,48----,66,33,-50.0
13,93,48----,177,157,-11.299435028248588
13,95,48----,2205,1807,-18.049886621315192
13,97,48----,3143,2587,-17.69010499522749
13,99,48----,117,158,35.04273504273504
13,103,48----,1152,446,-61.28472222222222
13,105,48----,88,65,-26.136363636363637
13,107,48----,256,199,-22.265625
13,109,48----,120,114,-5.0
13,111,48----,71,78,9.859154929577464
13,113,48----,1955,1362,-30.33248081841432
13,115,48----,1605,1796,11.90031152647975
13,117,48----,1481,1007,-32.00540175557056
13,119,48----,775,852,9.935483870967742
13,121,48----,80164,68613,-14.409211117209718
13,123,48----,74,44,-40.54054054054054
13,125,48----,5,2,-60.0
13,127,48----,1909,1928,0.9952854897852279
13,129,48----,1057,986,-6.717123935666983
13,131,48----,409,377,-7.823960880195599
13,133,48----,91,64,-29.67032967032967
13,135,48----,16200,11968,-26.123456790123456
13,137,48----,141,179,26.95035460992908
13,139,48----,4892,3686,-24.652493867538837
13,143,48----,222,169,-23.873873873873876
13,145,48----,220,200,-9.090909090909092
13,147,48----,33,46,39.39393939393939
13,149,48----,23,20,-13.043478260869565
13,151,48----,8323,6215,-25.32740598341944
13,153,48----,834,718,-13.908872901678656
13,157,48----,9780,6569,-32.83231083844581
13,159,48----,12,8,-33.33333333333333
13,161,48----,99,70,-29.292929292929294
13,163,48----,129,85,-34.10852713178294
13,165,48----,9,3,-66.66666666666666
13,167,48----,46,48,4.3478260869565215
13,169,48----,42,81,92.85714285714286
13,171,48----,65,76,16.923076923076923
13,175,48----,705,555,-21.27659574468085
13,177,48----,121,99,-18.181818181818183
13,179,48----,1090,900,-17.431192660550458
13,181,48----,21,20,-4.761904761904762
13,183,48----,29,16,-44.827586206896555
13,185,48----,3328,3546,6.550480769230769
13,187,48----,296,140,-52.702702702702695
13,189,48----,590,448,-24.06779661016949
13,191,48----,51,47,-7.8431372549019605
13,193,48----,96,21,-78.125
13,195,48----,70,79,12.857142857142856
13,199,48----,81,65,-19.753086419753085
13,201,48----,10,11,10.0
13,205,48----,161,133,-17.391304347826086
13,207,48----,579,432,-25.38860103626943
13,209,48----,80,94,17.5
13,211,48----,137,149,8.75912408759124
13,213,48----,51,33,-35.294117647058826
13,215,48----,1356,1061,-21.755162241887906
13,217,48----,456,473,3.7280701754385963
13,219,48----,205,129,-37.073170731707314
13,221,48----,44,71,61.36363636363637
13,223,48----,393,275,-30.025445292620866
13,225,48----,254,176,-30.708661417322837
13,227,48----,71,46,-35.2112676056338
13,229,48----,223,226,1.345291479820628
13,231,48----,32,30,-6.25
13,233,48----,321,337,4.984423676012461
13,235,48----,15,4,-73.33333333333333
13,237,48----,99,120,21.21212121212121
13,241,48----,15,3,-80.0
13,243,48----,152,194,27.631578947368425
13,245,48----,2743,2839,3.4998177178271965
13,247,48----,1023,1043,1.9550342130987293
13,251,48----,45,17,-62.22222222222222
13,253,48----,119,131,10.084033613445378
13,255,48----,280,191,-31.785714285714285
13,257,48----,54,144,166.66666666666669
13,261,48----,137,196,43.06569343065693
13,263,48----,29,14,-51.724137931034484
13,267,48----,65,54,-16.923076923076923
13,269,48----,86,92,6.976744186046512
13,271,48----,34,48,41.17647058823529
13,273,48----,63,110,74.60317460317461
13,275,48----,271,219,-19.18819188191882
13,277,48----,1708,1423,-16.686182669789225
13,279,48----,346,286,-17.341040462427745
13,281,48----,18,9,-50.0
13,283,48----,50,36,-28.000000000000004
13,285,48----,2846,2161,-24.068868587491217
13,287,48----,74,94,27.027027027027028
13,289,48----,1236,957,-22.572815533980584
13,291,48----,780,600,-23.076923076923077
13,293,48----,45,38,-15.555555555555555
13,295,48----,111,102,-8.108108108108109
13,297,48----,1684,1547,-8.135391923990499
13,299,48----,1458,635,-56.44718792866941
13,301,48----,11,7,-36.36363636363637
13,303,48----,508,588,15.748031496062993
13,305,48----,217,254,17.050691244239633
13,307,48----,31,30,-3.225806451612903
13,309,48----,14,12,-14.285714285714285
13,311,48----,51,47,-7.8431372549019605
13,313,48----,3446,3445,-0.02901915264074289
13,315,48----,22,22,0.0
13,317,48----,47,52,10.638297872340425
13,319,48----,269,223,-17.100371747211895
13,321,48----,69,48,-30.434782608695656
13,999,48----,493,378,-23.32657200811359
15,1,48----,2639,2988,13.224706328154603
15,3,48----,20389,24767,21.472362548432976
15,7,48----,1479,1591,7.572684246112238
15,9,48----,3377,3677,8.883624518803671
16,1,48----,8090,7001,-13.4610630407911
16,3,48----,7,2,-71.42857142857143
16,5,48----,649,526,-18.952234206471495
16,7,48----,10,8,-20.0
16,9,48----,204,219,7.352941176470589
16,11,48----,411,445,8.27250608272506
16,13,48----,373,211,-43.43163538873995
16,15,48----,25,28,12.0
16,17,48----,348,304,-12.643678160919542
16,19,48----,1928,1686,-12.551867219917012
16,21,48----,59,66,11.864406779661017
16,27,48----,2906,2678,-7.845836200963524
16,29,48----,37,28,-24.324324324324326
16,31,48----,966,1009,4.451345755693581
16,35,48----,30,21,-30.0
16,37,48----,11,16,45.45454545454545
16,39,48----,186,155,-16.666666666666664
16,41,48----,79,76,-3.79746835443038
16,43,48----,133,133,0.0
16,45,48----,101,90,-10.891089108910892
16,47,48----,131,166,26.717557251908396
16,49,48----,233,207,-11.158798283261802
16,51,48----,320,245,-23.4375
16,53,48----,860,1006,16.97674418604651
16,55,48----,1061,815,-23.185673892554195
16,57,48----,58,80,37.93103448275862
16,59,48----,43,40,-6.976744186046512
16,61,48----,13,9,-30.76923076923077
16,63,48----,25,20,-20.0
16,65,48----,680,544,-20.0
16,67,48----,522,498,-4.597701149425287
16,69,48----,668,616,-7.784431137724551
16,71,48----,10,38,280.0
16,73,48----,141,40,-71.63120567375887
16,75,48----,1162,184,-84.16523235800344
16,77,48----,330,431,30.606060606060602
16,79,48----,53,37,-30.18867924528302
16,81,48----,69,51,-26.08695652173913
16,83,48----,1414,1430,1.1315417256011315
16,85,48----,82,81,-1.2195121951219512
16,87,48----,22,38,72.72727272727273
17,1,48----,1271,908,-28.560188827694727
17,3,48----,243,235,-3.292181069958848
17,5,48----,149,48,-67.78523489932886
17,7,48----,705,989,40.283687943262414
17,9,48----,713,665,-6.732117812061711
17,11,48----,1282,1173,-8.502340093603744
17,13,48----,20,22,10.0
17,15,48----,78,93,19.230769230769234
17,17,48----,42,59,40.476190476190474
17,19,48----,4035,2866,-28.97149938042131
17,21,48----,184,196,6.521739130434782
17,23,48----,63,82,30.158730158730158
17,25,48----,210,133,-36.666666666666664
17,27,48----,426,440,3.286384976525822
17,29,48----,391,347,-11.253196930946292
17,31,48----,151788,136262,-10.228740084855193
17,33,48----,122,59,-51.63934426229508
17,35,48----,192,219,14.0625
17,37,48----,3395,2721,-19.852724594992637
17,39,48----,101,98,-2.9702970297029703
17,41,48----,252,254,0.7936507936507936
17,43,48----,32635,30582,-6.290792094377203
17,45,48----,139,151,8.633093525179856
17,47,48----,26,27,3.8461538461538463
17,49,48----,863,896,3.8238702201622248
17,51,48----,242,439,81.40495867768594
17,53,48----,84,116,38.095238095238095
17,55,48----,279,183,-34.40860215053764
17,57,48----,137,121,-11.678832116788321
17,59,48----,99,132,33.33333333333333
17,61,48----,54,50,-7.4074074074074066
17,63,48----,3148,3801,20.7433290978399
17,65,48----,60,67,11.666666666666666
17,67,48----,58,69,18.96551724137931
17,69,48----,46,52,13.043478260869565
17,71,48----,29,20,-31.03448275862069
17,73,48----,340,380,11.76470588235294
17,75,48----,121,198,63.63636363636363
17,77,48----,128,262,104.6875
17,79,48----,73,52,-28.767123287671232
17,81,48----,1869,1871,0.1070090957731407
17,83,48----,67,56,-16.417910447761194
17,85,48----,211,246,16.587677725118482
17,87,48----,79,79,0.0
17,89,48----,7046,6899,-2.0862900936701676
17,91,48----,1506,1997,32.602921646746346
17,93,48----,2303,2225,-3.386886669561442
17,95,48----,517,540,4.448742746615087
17,97,48----,8109,7086,-12.615612282648907
17,99,48----,1940,2193,13.041237113402063
17,101,48----,41,50,21.951219512195124
17,103,48----,311,312,0.3215434083601286
17,105,48----,393,438,11.450381679389313
17,107,48----,275,297,8.0
17,109,48----,155,146,-5.806451612903226
17,111,48----,2535,2228,-12.110453648915186
17,113,48----,2861,2711,-5.242922055225446
17,115,48----,2348,2677,14.011925042589437
17,117,48----,178,257,44.38202247191011
17,119,48----,10880,10804,-0.698529411764706
17,121,48----,496,499,0.6048387096774194
17,123,48----,116,83,-28.448275862068968
17,125,48----,105,90,-14.285714285714285
17,127,48----,109,124,13.761467889908257
17,129,48----,44,47,6.8181818181818175
17,131,48----,50,49,-2.0
17,133,48----,233,230,-1.2875536480686696
17,135,48----,298,180,-39.59731543624161
17,137,48----,407,411,0.9828009828009828
17,139,48----,172,155,-9.883720930232558
17,141,48----,1875,1808,-3.5733333333333333
17,143,48----,1465,1562,6.621160409556313
17,145,48----,142,142,0.0
17,147,48----,82,80,-2.4390243902439024
17,149,48----,204,181,-11.27450980392157
17,153,48----,57,60,5.263157894736842
17,155,48----,68,61,-10.294117647058822
17,157,48----,266,291,9.398496240601503
17,159,48----,1124,961,-14.501779359430605
17,161,48----,5740,4798,-16.411149825783973
17,163,48----,4818,4670,-3.0718140307181403
17,165,48----,56,68,21.428571428571427
17,167,48----,1993,1705,-14.450577019568488
17,169,48----,29,24,-17.24137931034483
17,171,48----,17,22,29.411764705882355
17,173,48----,85,97,14.117647058823529
17,175,48----,85,62,-27.058823529411764
17,177,48----,253,335,32.41106719367589
17,179,48----,3919,3335,-14.901760653227864
17,181,48----,31,38,22.58064516129032
17,183,48----,1418,1228,-13.399153737658676
17,185,48----,23,11,-52.17391304347826
17,187,48----,314,436,38.853503184713375
17,189,48----,797,719,-9.786700125470514
17,191,48----,134,144,7.462686567164178
17,193,48----,189,166,-12.16931216931217
17,195,48----,1616,1528,-5.445544554455446
17,197,48----,39072,28800,-26.289926289926292
17,199,48----,1956,917,-53.11860940695296
17,201,48----,7591,6635,-12.593861151363456
17,203,48----,277,270,-2.527075812274368
17,999,48----,635,515,-18.89763779527559
18,1,48----,310,335,8.064516129032258
18,3,48----,8948,7373,-17.601698703620922
18,5,48----,1464,1385,-5.396174863387978
18,7,48----,83,121,45.78313253012048
18,9,48----,89,141,58.42696629213483
18,11,48----,5955,3243,-45.541561712846345
18,13,48----,25,39,56.00000000000001
18,15,48----,123,97,-21.138211382113823
18,17,48----,398,290,-27.1356783919598
18,19,48----,4345,5228,20.322209436133488
18,21,48----,193,159,-17.616580310880828
18,23,48----,710,567,-20.140845070422536
18,25,48----,127,128,0.7874015748031495
18,27,48----,884,734,-16.968325791855204
18,29,48----,443,484,9.255079006772009
18,31,48----,949,801,-15.595363540569021
18,33,48----,1940,1896,-2.268041237113402
18,35,48----,827,836,1.0882708585247884
18,37,48----,1557,1536,-1.348747591522158
18,39,48----,2794,2913,4.259126700071582
18,41,48----,63,65,3.1746031746031744
18,43,48----,446,373,-16.367713004484305
18,45,48----,91,72,-20.87912087912088
18,47,48----,132,151,14.393939393939394
18,49,48----,91,108,18.681318681318682
18,51,48----,833,893,7.202881152460984
18,53,48----,2904,2373,-18.285123966942148
18,55,48----,65,79,21.53846153846154
18,57,48----,1808,1577,-12.77654867256637
